"","show","shows_like_shows"
"1","Stranger Things","Game of Thrones"
"2","Stranger Things","Black Mirror"
"3","Stranger Things","Money Heist"
"4","Stranger Things","Friends"
"5","Stranger Things","Breaking Bad"
"6","Stranger Things","Peaky Blinders"
"7","Stranger Things","Westworld"
"8","Stranger Things","Vikings"
"9","Stranger Things","13 Reasons Why"
"10","Stranger Things","The Walking Dead"
"11","Stranger Things","The Office"
"12","Stranger Things","Sherlock"
"13","The Big Bang Theory","Friends"
"14","The Big Bang Theory","Modern Family"
"15","The Big Bang Theory","How I Met Your Mother"
"16","The Big Bang Theory","Brooklyn Nine-Nine"
"17","The Big Bang Theory","Stranger Things"
"18","The Big Bang Theory","Game of Thrones"
"19","The Big Bang Theory","Lost"
"20","The Big Bang Theory","Criminal Minds"
"21","The Big Bang Theory","Black Mirror"
"22","The Big Bang Theory","The Office"
"23","The Big Bang Theory","Grey's Anatomy"
"24","The Big Bang Theory","Breaking Bad"
"25","Game of Thrones","Breaking Bad"
"26","Game of Thrones","Stranger Things"
"27","Game of Thrones","Peaky Blinders"
"28","Game of Thrones","Friends"
"29","Game of Thrones","Vikings"
"30","Game of Thrones","Black Mirror"
"31","Game of Thrones","Westworld"
"32","Game of Thrones","Chernobyl"
"33","Game of Thrones","Money Heist"
"34","Game of Thrones","Sherlock"
"35","Game of Thrones","The Big Bang Theory"
"36","Game of Thrones","The Office"
"37","The Office","Friends"
"38","The Office","Stranger Things"
"39","The Office","Breaking Bad"
"40","The Office","Brooklyn Nine-Nine"
"41","The Office","Game of Thrones"
"42","The Office","Community"
"43","The Office","Black Mirror"
"44","The Office","Modern Family"
"45","The Office","Parks and Recreation"
"46","The Office","The Big Bang Theory"
"47","The Office","Grey's Anatomy"
"48","The Office","The Sopranos"
"49","Breaking Bad","Game of Thrones"
"50","Breaking Bad","Stranger Things"
"51","Breaking Bad","Peaky Blinders"
"52","Breaking Bad","Better Call Saul"
"53","Breaking Bad","Black Mirror"
"54","Breaking Bad","Friends"
"55","Breaking Bad","Money Heist"
"56","Breaking Bad","Chernobyl"
"57","Breaking Bad","Vikings"
"58","Breaking Bad","Sherlock"
"59","Breaking Bad","The Office"
"60","Breaking Bad","Westworld"
"61","Black Mirror","Stranger Things"
"62","Black Mirror","Game of Thrones"
"63","Black Mirror","Westworld"
"64","Black Mirror","Breaking Bad"
"65","Black Mirror","Friends"
"66","Black Mirror","Peaky Blinders"
"67","Black Mirror","Rick and Morty"
"68","Black Mirror","Sherlock"
"69","Black Mirror","Chernobyl"
"70","Black Mirror","The Office"
"71","Black Mirror","Money Heist"
"72","Black Mirror","Vikings"
"73","How I Met Your Mother","The Big Bang Theory"
"74","How I Met Your Mother","Friends"
"75","How I Met Your Mother","Brooklyn Nine-Nine"
"76","How I Met Your Mother","Suits"
"77","How I Met Your Mother","Modern Family"
"78","How I Met Your Mother","House M.D."
"79","How I Met Your Mother","Sherlock"
"80","How I Met Your Mother","Game of Thrones"
"81","How I Met Your Mother","Two and a Half Men"
"82","How I Met Your Mother","New Girl"
"83","How I Met Your Mother","Prison Break"
"84","How I Met Your Mother","Stranger Things"
"85","Modern Family","The Big Bang Theory"
"86","Modern Family","Friends"
"87","Modern Family","Brooklyn Nine-Nine"
"88","Modern Family","The Office"
"89","Modern Family","Grey's Anatomy"
"90","Modern Family","Stranger Things"
"91","Modern Family","Community"
"92","Modern Family","Lost"
"93","Modern Family","Criminal Minds"
"94","Modern Family","How I Met Your Mother"
"95","Modern Family","Game of Thrones"
"96","Modern Family","Black Mirror"
"97","Grey's Anatomy","Criminal Minds"
"98","Grey's Anatomy","Friends"
"99","Grey's Anatomy","Modern Family"
"100","Grey's Anatomy","The Big Bang Theory"
"101","Grey's Anatomy","Supernatural"
"102","Grey's Anatomy","Game of Thrones"
"103","Grey's Anatomy","Stranger Things"
"104","Grey's Anatomy","13 Reasons Why"
"105","Grey's Anatomy","The Office"
"106","Grey's Anatomy","The Handmaid's Tale"
"107","Grey's Anatomy","The 100"
"108","Grey's Anatomy","Lucifer"
"109","Brooklyn Nine-Nine","The Big Bang Theory"
"110","Brooklyn Nine-Nine","Friends"
"111","Brooklyn Nine-Nine","The Office"
"112","Brooklyn Nine-Nine","Modern Family"
"113","Brooklyn Nine-Nine","How I Met Your Mother"
"114","Brooklyn Nine-Nine","Community"
"115","Brooklyn Nine-Nine","Stranger Things"
"116","Brooklyn Nine-Nine","Lucifer"
"117","Brooklyn Nine-Nine","Black Mirror"
"118","Brooklyn Nine-Nine","Game of Thrones"
"119","Brooklyn Nine-Nine","Parks and Recreation"
"120","Brooklyn Nine-Nine","Breaking Bad"
"121","Money Heist","Stranger Things"
"122","Money Heist","Peaky Blinders"
"123","Money Heist","Breaking Bad"
"124","Money Heist","Game of Thrones"
"125","Money Heist","Friends"
"126","Money Heist","13 Reasons Why"
"127","Money Heist","Black Mirror"
"128","Money Heist","Vikings"
"129","Money Heist","Lucifer"
"130","Money Heist","Prison Break"
"131","Money Heist","Chernobyl"
"132","Money Heist","Elite"
"133","Peaky Blinders","Game of Thrones"
"134","Peaky Blinders","Breaking Bad"
"135","Peaky Blinders","Vikings"
"136","Peaky Blinders","Stranger Things"
"137","Peaky Blinders","Money Heist"
"138","Peaky Blinders","Black Mirror"
"139","Peaky Blinders","Friends"
"140","Peaky Blinders","Sherlock"
"141","Peaky Blinders","Chernobyl"
"142","Peaky Blinders","Westworld"
"143","Peaky Blinders","Better Call Saul"
"144","Peaky Blinders","Narcos"
